Voltage (V);Current (A);Temp (C);SOC (estimated);SOC (messured)
3,198261521;-2,927159755;24,81252692;0,132332703;0,156180042
3,179525359;0,020086067;24,7074057;0,143793679;0,144163333
3,15529556;-1,342354967;24,60227449;0,137953065;0,141543431
3,170964562;-0,005436166;24,39201206;0,156160274;0,13658
3,191426833;-0,005436166;24,39201206;0,153979201;0,13658
3,197846369;-0,005436166;24,07661842;0,156516667;0,13658
3,201908732;-0,005436166;24,18174963;0,154392021;0,13658
3,204947981;-0,005436166;23,9714972;0,152352074;0,13658
3,207315185;-0,005436166;24,07661842;0,148910144;0,13658
3,496402794;2,991007804;23,89893933;0,147913279;0,152105187
3,558322734;2,991007804;24,07813822;0,160384413;0,18038373
3,596786371;2,991007804;24,28688085;0,186187159;0,208658988
3,629815948;2,991007804;24,43427629;0,216810571;0,236936215
3,659191749;2,991007804;24,50759407;0,250631374;0,265212789
3,682120766;2,991007804;24,60227449;0,284915782;0,293491357
3,701972015;2,991007804;24,65545058;0,31228556;0,321766591
3,722735372;2,991007804;24,62241617;0,339598229;0,350041825
3,744255911;2,991007804;24,80085627;0,367829756;0,378320392
3,765315999;2,991007804;24,7074057;0,393863116;0,40659896
3,786825678;2,991007804;24,81252692;0,420933442;0,434873248
3,810323472;2,991007804;24,70938638;0,449083155;0,463149428
3,837221795;2,991007804;24,88386382;0,481554087;0,491425733
3,866828172;2,991007804;24,91765813;0,514599102;0,519703229
3,898004309;2,991007804;24,92536816;0,541283189;0,547981552
3,92928833;2,991007804;24,94176156;0,568463932;0,576257031
3,959670969;2,992363147;24,91765813;0,595870584;0,604534037
3,988695563;2,991007804;24,91765813;0,623410285;0,632810832
4,016817244;2,991007804;25,0990955;0,651798008;0,661089399
4,044845418;2,991007804;25,02278935;0,677943383;0,689366099
4,07441162;2,991007804;25,04988115;0,704952252;0,717643201
4,106954511;2,991007804;25,12792056;0,733275013;0,745921768
4,142581952;2,991007804;24,95419322;0,761259015;0,774197002
4,178795026;2,991007804;25,16470325;0,79276402;0,802474403
4,197779388;2,614947371;25,01285085;0,819894405;0,82978848
4,197779388;2,188110355;24,89081394;0,843672374;0,852187756
4,1976189;1,928676075;24,97631577;0,863221715;0,871559582
4,1976189;1,730872274;24,4066722;0,880483039;0,888895906
4,1976189;1,561791483;24,6730991;0,898807779;0,904450587
4,1976189;1,411882133;24,70020332;0,913892128;0,9185071
4,1976189;1,262213408;24,1573986;0,926095902;0,931197196
4,1976189;1,1062467;24,17428722;0,935794326;0,942449286
4,1976189;0,959540894;24,39201206;0,944368813;0,952198482
4,1976189;0,81549458;24,25283893;0,953197555;0,960620642
4,1976189;0,682125106;24,07439015;0,961650612;0,967766804
4,1976189;0,561987243;24,04703627;0,969450091;0,97363917
4,1976189;0,461254848;24,07661842;0,97651829;0,97850241
4,1976189;0,375046164;23,95957783;0,983182429;0,982516442
4,1976189;0,30553678;23,95160313;0,988818774;0,985772718
4,1976189;0,249551152;23,9714972;0,993785645;0,988439951
4,1976189;0,204242151;23,9714972;0,998228303;0,990639629
4,1976189;0,169857089;23,87656917;1;0,992451978
4,1976189;0,141064619;23,90838261;1;0,99395228
4,1976189;0,116589019;23,83506484;1;0,995218489
4,1976189;0,099260749;23,97047261;1;0,996293694
4,1976189;0,083697079;23,86636598;1;0,997197544
4,1976189;0,07169768;23,80222681;1;0,99798173
4,1976189;0,06280756;23,86636598;1;0,998665055
4,1976189;0,053813757;23,86636598;1;0,999258233
4,1976189;0,046933221;23,86636598;1;0,99978314
4,197163416;0,034355721;23,86636598;1;1
4,195081177;-0,005436166;23,86636598;1;1
4,193842646;-0,005436166;23,76123477;1;1
4,192908733;-0,005436166;23,86636598;1;1
4,192047726;-0,005436166;23,76448784;1;1
4,191473605;-0,005436166;23,76123477;1;1
4,19072786;-0,005436166;23,82811472;1;1
4,190325885;-0,005436166;23,77411042;1;1
4,18974701;-0,005436166;23,8917416;1;1
4,189343228;-0,005436166;23,71329261;1;1
4,188966488;-0,005436166;23,77736348;1;1
4,188531971;-0,005436166;23,7769195;1;1
4,188222592;-0,005436166;23,72387148;1;1
4,187937687;-0,005436166;23,89403839;1;1
4,187648249;-0,005436166;23,65610356;1;1
4,187358811;-0,005436166;23,80732907;1;1
4,187072762;-0,005436166;23,72852144;1;1
4,186789966;-0,005436166;23,95670899;1;1
4,186625444;-0,005436166;23,78201682;1;1
4,18638161;-0,005436166;23,9714972;1;1
4,186113887;-0,005436166;23,73445888;1;1
4,185973254;-0,005436166;23,63767806;1;1
4,18578288;-0,005436166;23,86636598;1;1
4,185574928;-0,005436166;23,82020832;1;1
4,185441842;-0,005436166;23,75250016;1;1
4,185271323;-0,005436166;23,78526988;1;1
4,185047653;-0,005436166;23,86636598;1;1
4,184928734;-0,005436166;23,76027849;1;1
4,184759766;-0,005436166;23,80465166;1;1
4,184599278;-0,005436166;23,92903659;1;1
4,184428759;-0,005436166;23,66675073;1;1
4,184292571;-0,005436166;23,84519971;1;1
4,184173652;-0,005436166;23,81421448;1;1
4,184054734;-0,005436166;23,76123477;1;1
4,183917202;-0,005436166;23,8548906;1;1
4,183816896;-0,005436166;23,82307716;1;1
4,183697977;-0,005436166;23,86636598;1;1
4,183576164;-0,005436166;23,86636598;1;1
4,116939943;4,660526355;24,07661842;0,897125723;0,970801478
3,98627659;-3,355132239;24,49714327;0,95941268;0,954130314
3,841158491;-9,91807592;24,39201206;0,948256705;0,924229791
3,936361763;-2,861357783;24,81252692;0,900553737;0,886092983
4,051724912;-0,103099028;24,81252692;0,887498107;0,873503333
4,049187189;-0,104976869;24,7074057;0,869800154;0,865573333
3,915999517;-1,894480883;24,81252692;0,831064759;0,837642759
3,900135775;-2,803875529;24,81252692;0,821954522;0,82174578
3,817539788;-5,03859224;24,81252692;0,80058326;0,791350505
3,72391822;-7,857477688;24,91765813;0,775474037;0,75196474
3,914948671;-0,105411095;24,81252692;0,758610571;0,738307235
3,903955216;-0,10543141;24,81252692;0,735618697;0,729963333
3,711819352;-4,420932236;24,81252692;0,68528509;0,701022247
3,701790926;-5,492589814;24,91765813;0,671550259;0,684479537
3,665523661;-5,204496743;24,81252692;0,644932827;0,652905431
3,644425409;-3,946202728;25,06762857;0,613437381;0,611885639
3,781382199;-0,10772394;25,02278935;0,60760879;0,597063592
3,769158922;-0,109389905;24,91765813;0,586062804;0,588213333
3,539180411;-5,123792359;24,81252692;0,531622201;0,558304408
3,549080589;-5,194203864;25,12792056;0,516805626;0,54101157
3,478291915;-6,435522258;24,91765813;0,494550859;0,50795429
3,471917014;-4,140177688;25,23305178;0,459047938;0,46474224
3,60300937;-0,11263154;25,12792056;0,438922025;0,448783333
3,608016412;-0,114259265;25,02278935;0,42377787;0,43927
3,312925454;-9,806313103;25,12792056;0,383174844;0,408279208
3,417043524;-4,882037238;25,12792056;0,36604005;0,390130473
3,378955027;-5,051834053;25,12792056;0,344651527;0,355840696
3,317736453;-4,730201103;25,86382907;0,307422233;0,31055298
3,503066927;-0,118012233;25,33818299;0,304208089;0,293416308
3,494182041;-0,073290363;25,44330421;0,285072274;0,283381812
3,084714905;-10,6041635;25,52795396;0,246799111;0,251479482
3,229059204;-5,168175063;25,44330421;0,227631689;0,231772815
3,155138772;-4,307223404;25,86382907;0,197857189;0,195286557
2,948809496;-6,702628166;26,70486879;0,174258368;0,145535575
3,189902193;-0,005436166;25,86382907;0,156505647;0,136623333
3,204616973;-0,005436166;25,54843542;0,144185885;0,136623333
3,210695472;-0,005436166;25,02278935;0,146458285;0,136623333
